epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.823,2.40383,3.147,2.46106,0.43227,0.32485,0.34309,0.15319,1.9731,2.05874,1.93283,0.00332706,0.00332706,0.00332706
2,236.213,1.93307,1.84815,1.7964,0.58886,0.49128,0.52879,0.26391,1.84716,1.60725,1.6952,0.00659445,0.00659445,0.00659445
3,351.841,1.97745,1.71537,1.75728,0.52701,0.50967,0.51042,0.23571,1.86117,1.96571,1.71896,0.00979585,0.00979585,0.00979585
4,466.509,1.98438,1.70957,1.76776,0.37185,0.33192,0.30829,0.11896,2.30529,2.21087,2.00225,0.009703,0.009703,0.009703
5,582.031,1.88617,1.57661,1.68203,0.71802,0.57505,0.68983,0.35118,1.70333,1.37262,1.55718,0.009604,0.009604,0.009604
6,697.09,1.78404,1.45441,1.6281,0.70768,0.61635,0.6838,0.35336,1.7556,1.36327,1.58205,0.009505,0.009505,0.009505
7,812.291,1.74384,1.38552,1.57923,0.71918,0.63513,0.72191,0.3568,1.73406,1.29761,1.58424,0.009406,0.009406,0.009406
8,927.473,1.67833,1.31981,1.55204,0.77236,0.68787,0.79207,0.43546,1.55899,1.13653,1.43831,0.009307,0.009307,0.009307
9,1042.86,1.60355,1.22856,1.49006,0.79718,0.71523,0.81143,0.44997,1.54891,1.15337,1.44093,0.009208,0.009208,0.009208
10,1158.82,1.56173,1.19699,1.46693,0.77482,0.71381,0.80394,0.45031,1.52494,1.09665,1.45842,0.009109,0.009109,0.009109
11,1274.09,1.53123,1.16,1.43524,0.83008,0.74624,0.84024,0.48626,1.41189,1.04265,1.37176,0.00901,0.00901,0.00901
12,1389.14,1.51414,1.13113,1.4304,0.8346,0.7553,0.84964,0.50962,1.38712,0.98241,1.36057,0.008911,0.008911,0.008911
13,1504.07,1.48307,1.08482,1.42252,0.81943,0.75483,0.84527,0.50242,1.38376,1.03577,1.37738,0.008812,0.008812,0.008812
14,1620.36,1.44022,1.05246,1.38723,0.84119,0.76916,0.85609,0.50391,1.38446,0.95564,1.34012,0.008713,0.008713,0.008713
15,1736.74,1.41953,1.02501,1.36735,0.84992,0.79567,0.87654,0.54198,1.31167,0.92139,1.32284,0.008614,0.008614,0.008614
16,1852.52,1.41971,1.03103,1.37406,0.85098,0.79774,0.88282,0.54783,1.29573,0.92448,1.30652,0.008515,0.008515,0.008515
17,1967.28,1.37807,0.99138,1.35285,0.86086,0.80009,0.88806,0.5513,1.32573,0.89717,1.32748,0.008416,0.008416,0.008416
18,2082.11,1.36014,0.9715,1.32992,0.86899,0.80999,0.89996,0.56155,1.29621,0.8831,1.31319,0.008317,0.008317,0.008317
19,2197.59,1.35796,0.95164,1.34161,0.87412,0.81094,0.9006,0.56159,1.28216,0.89451,1.30296,0.008218,0.008218,0.008218
20,2312.72,1.32234,0.92351,1.31773,0.88169,0.8265,0.90699,0.58607,1.24358,0.83241,1.27365,0.008119,0.008119,0.008119
21,2428.52,1.31762,0.90852,1.3132,0.88853,0.83451,0.91457,0.59427,1.22077,0.81479,1.25439,0.00802,0.00802,0.00802
22,2543.87,1.29977,0.89163,1.30222,0.89356,0.83912,0.91732,0.60595,1.19386,0.80123,1.25354,0.007921,0.007921,0.007921
23,2659.3,1.27625,0.87714,1.28942,0.89176,0.83781,0.91728,0.60054,1.21599,0.79747,1.25213,0.007822,0.007822,0.007822
24,2774.87,1.25883,0.86646,1.27236,0.89853,0.85172,0.92071,0.6137,1.18025,0.77867,1.23173,0.007723,0.007723,0.007723
25,2890.34,1.24923,0.85303,1.27039,0.90395,0.85638,0.92723,0.61189,1.18412,0.76394,1.25197,0.007624,0.007624,0.007624
26,3005.65,1.22192,0.83238,1.2495,0.90369,0.85243,0.92181,0.6175,1.15392,0.75137,1.22088,0.007525,0.007525,0.007525
27,3121.08,1.2166,0.81985,1.24459,0.91074,0.85007,0.92459,0.6168,1.17461,0.75707,1.23147,0.007426,0.007426,0.007426
28,3237.13,1.20709,0.81668,1.24182,0.91745,0.86186,0.93319,0.62597,1.14034,0.75031,1.21494,0.007327,0.007327,0.007327
29,3353.19,1.19667,0.80482,1.23206,0.91793,0.87533,0.94144,0.64305,1.11064,0.69987,1.20841,0.007228,0.007228,0.007228
30,3469.06,1.18139,0.7857,1.21844,0.91868,0.88166,0.93978,0.64215,1.11719,0.69759,1.19499,0.007129,0.007129,0.007129
31,3584.03,1.17461,0.7781,1.21658,0.92648,0.85903,0.93427,0.64075,1.11536,0.72096,1.19577,0.00703,0.00703,0.00703
32,3698.65,1.15048,0.76608,1.2054,0.91782,0.87941,0.94074,0.64785,1.08956,0.70046,1.19276,0.006931,0.006931,0.006931
33,3814.61,1.14466,0.7507,1.20079,0.93099,0.8777,0.94476,0.65403,1.10127,0.67957,1.18837,0.006832,0.006832,0.006832
34,3929.47,1.1361,0.73251,1.19432,0.93268,0.88181,0.94728,0.65717,1.09368,0.67731,1.18745,0.006733,0.006733,0.006733
35,4044.51,1.12998,0.73153,1.19485,0.92512,0.87958,0.94212,0.66061,1.06708,0.65889,1.17331,0.006634,0.006634,0.006634
36,4159.37,1.11424,0.72709,1.18156,0.92964,0.88025,0.94405,0.66678,1.06041,0.65043,1.16895,0.006535,0.006535,0.006535
37,4274.5,1.11655,0.72793,1.18229,0.938,0.87459,0.94388,0.67135,1.04664,0.6396,1.16516,0.006436,0.006436,0.006436
38,4388.24,1.09672,0.72005,1.1683,0.93235,0.88449,0.94716,0.6731,1.04589,0.64839,1.16482,0.006337,0.006337,0.006337
39,4503,1.10083,0.70229,1.16954,0.93489,0.88355,0.94761,0.68265,1.009,0.62526,1.1428,0.006238,0.006238,0.006238
40,4617.3,1.08463,0.69553,1.16565,0.9301,0.89717,0.95347,0.68204,1.02343,0.62107,1.15039,0.006139,0.006139,0.006139
41,4731.86,1.06121,0.68226,1.15456,0.94465,0.89315,0.95338,0.68989,1.00004,0.60522,1.13912,0.00604,0.00604,0.00604
42,4846.23,1.06128,0.67205,1.14725,0.93809,0.89769,0.9564,0.69985,0.99075,0.59962,1.13511,0.005941,0.005941,0.005941
43,4962.12,1.0635,0.67759,1.15094,0.93149,0.90005,0.95176,0.68867,1.01064,0.59675,1.15018,0.005842,0.005842,0.005842
44,5077.21,1.03954,0.65629,1.13643,0.93654,0.89758,0.9525,0.69767,0.98337,0.59266,1.13579,0.005743,0.005743,0.005743
45,5191.91,1.03733,0.65847,1.13284,0.94363,0.8991,0.95344,0.69474,0.99636,0.58292,1.13666,0.005644,0.005644,0.005644
46,5306.65,1.01094,0.64032,1.12102,0.93452,0.90288,0.95113,0.70324,0.98995,0.57341,1.13266,0.005545,0.005545,0.005545
47,5421.38,1.0058,0.63136,1.11682,0.94792,0.90961,0.96078,0.7031,0.97635,0.57378,1.12513,0.005446,0.005446,0.005446
48,5536.38,0.98661,0.62276,1.10667,0.93928,0.90665,0.957,0.70775,0.96402,0.56234,1.12752,0.005347,0.005347,0.005347
49,5651.25,1.00223,0.63183,1.11226,0.93881,0.89439,0.95578,0.70926,0.95729,0.56421,1.11876,0.005248,0.005248,0.005248
50,5766.23,0.98594,0.61438,1.10794,0.9392,0.90618,0.96123,0.71206,0.95524,0.55739,1.11304,0.005149,0.005149,0.005149
51,5880.28,0.974,0.60577,1.09844,0.94168,0.91419,0.96042,0.71483,0.9472,0.54781,1.11837,0.00505,0.00505,0.00505
52,5994.92,0.96206,0.59604,1.09533,0.94969,0.89898,0.96174,0.72169,0.93341,0.54144,1.10911,0.004951,0.004951,0.004951
53,6109.83,0.95169,0.58215,1.08485,0.93986,0.91796,0.96504,0.72023,0.93929,0.54131,1.11453,0.004852,0.004852,0.004852
54,6224.31,0.9573,0.59064,1.09116,0.94667,0.9038,0.9577,0.72209,0.93511,0.54197,1.10907,0.004753,0.004753,0.004753
55,6338.82,0.9545,0.58877,1.09345,0.94987,0.90853,0.96176,0.72036,0.93393,0.52193,1.114,0.004654,0.004654,0.004654
56,6453.26,0.9301,0.56583,1.06979,0.94849,0.91161,0.95906,0.72278,0.93971,0.52278,1.11392,0.004555,0.004555,0.004555
57,6568.37,0.94228,0.57961,1.07878,0.9362,0.92013,0.96138,0.72576,0.92804,0.51764,1.10395,0.004456,0.004456,0.004456
58,6683.38,0.91185,0.55453,1.06761,0.94887,0.91466,0.96224,0.72772,0.91814,0.51089,1.0993,0.004357,0.004357,0.004357
59,6799.29,0.90765,0.55564,1.05926,0.94261,0.92148,0.96492,0.73034,0.92048,0.51111,1.09833,0.004258,0.004258,0.004258
60,6915.33,0.91654,0.55576,1.07046,0.94405,0.92221,0.96646,0.73222,0.92081,0.51073,1.10181,0.004159,0.004159,0.004159
61,7029.94,0.90762,0.54997,1.06161,0.9426,0.92128,0.96655,0.73164,0.92011,0.50041,1.1022,0.00406,0.00406,0.00406
